"school","UKPRN","mean_impact","google_40_perc","google_40_plus_ipe","google_40_plus_ipe_hr","ref_gpa","top_up_perc"
"Aberystwyth University","10007856",0.583262295081967,29.5081967213115,29.5081967213115,29.5081967213115,3.011,53.8461538461538
"Birkbeck College","10007760",0.815352941176471,29.4117647058824,29.4117647058824,29.4117647058824,2.864,60
"Brunel University London","10000961",0.646109375,20.3125,23.4375,23.4375,2.76,33.3333333333333
"Canterbury Christ Church University","10001143",0.8714,6.66666666666667,6.66666666666667,6.66666666666667,1.721,0
"Cardiff University","10007814",0.659538461538462,19.2307692307692,23.0769230769231,23.0769230769231,2.84,21.0526315789474
"City University London","10001478",0.736068965517241,24.1379310344828,31.0344827586207,34.4827586206897,2.667,27.2727272727273
"Coventry University","10001726",0.540054054054054,8.10810810810811,8.10810810810811,8.10810810810811,1.775,0
"Goldsmiths' College","10002718",0.51992,12,20,20,2.628,37.5
"Keele University","10007767",1.02413513513514,35.1351351351351,35.1351351351351,35.1351351351351,2.49,0
"King's College London","10003645",1.03914150943396,18.8679245283019,19.811320754717,19.811320754717,2.712,26.6666666666667
"Liverpool Hope University","10003956",0.3641,10,10,10,2.052,0
"London Metropolitan University","10004048",0.214111111111111,0,0,0,2.134,0
"London School of Economics and Political Science","10004063",1.53998837209302,52.3255813953488,54.0697674418605,54.0697674418605,3.302,51.5151515151515
"Newcastle University","10007799",0.776925925925926,24.0740740740741,25.9259259259259,25.9259259259259,2.521,11.1111111111111
"Oxford Brookes University","10004930",0.47725,17.8571428571429,17.8571428571429,17.8571428571429,2.349,12.5
"Queen Mary University of London","10007775",0.526433962264151,20.7547169811321,22.6415094339623,22.6415094339623,2.851,5.88235294117647
"Queen's University Belfast","10005343",0.695271428571429,21.4285714285714,25.7142857142857,25.7142857142857,2.581,14.2857142857143
"Robert Gordon University","10005500",0.715111111111111,16.6666666666667,22.2222222222222,22.2222222222222,2.583,16.6666666666667
"Royal Holloway, University of London","10005553",0.768882352941176,33.3333333333333,33.3333333333333,33.3333333333333,2.735,12
"School of Oriental and African Studies","10007780",0.895116666666667,35,38.3333333333333,38.3333333333333,2.722,66.6666666666667
"St Mary's University College","10008026",0.5435,0,0,0,NA,0
"Swansea University","10007855",1.075375,33.3333333333333,33.3333333333333,33.3333333333333,2.856,71.4285714285714
"University College London","10007784",1.24581818181818,42.8571428571429,42.8571428571429,46.7532467532467,3.133,77.7777777777778
"University of Aberdeen","10007783",0.747514285714286,25.7142857142857,25.7142857142857,25.7142857142857,2.569,28.5714285714286
"University of Birmingham","10006840",0.753604838709677,29.8387096774194,32.258064516129,32.258064516129,2.473,16
"University of Bradford","10007785",0.682818181818182,22.7272727272727,22.7272727272727,22.7272727272727,2.277,0
"University of Bristol","10007786",0.672723076923077,29.2307692307692,30.7692307692308,30.7692307692308,2.522,15.3846153846154
"University of Cambridge","10007788",0.950259259259259,22.2222222222222,24.0740740740741,24.0740740740741,2.862,50
"University of Dundee","10007852",0.585666666666667,13.3333333333333,13.3333333333333,13.3333333333333,2.392,0
"University of Durham","10007143",0.445266666666667,22.2222222222222,22.2222222222222,22.2222222222222,2.619,15.3846153846154
"University of East Anglia","10007789",0.956666666666667,36.6666666666667,36.6666666666667,36.6666666666667,2.825,20
"University of Edinburgh","10007790",1.28028235294118,35.2941176470588,36.4705882352941,36.4705882352941,2.721,26.3157894736842
"University of Essex","10007791",1.72455555555556,69.1358024691358,69.1358024691358,70.3703703703704,3.417,53.8461538461538
"University of Exeter","10007792",1.26148717948718,52.5641025641026,53.8461538461538,53.8461538461538,2.967,42.8571428571429
"University of Glasgow","10007794",0.827231884057971,31.8840579710145,31.8840579710145,36.231884057971,2.77,23.5294117647059
"University of Hull","10007149",0.346767441860465,4.65116279069767,6.97674418604651,6.97674418604651,1.944,0
"University of Kent","10007150",0.890620253164557,37.9746835443038,39.2405063291139,41.7721518987342,2.586,22.7272727272727
"University of Leeds","10007795",0.795385964912281,33.3333333333333,33.3333333333333,35.0877192982456,2.667,18.1818181818182
"University of Leicester","10007796",0.351585365853659,9.75609756097561,9.75609756097561,9.75609756097561,2.509,14.2857142857143
"University of Lincoln","10007151",0.689666666666667,0,11.1111111111111,11.1111111111111,2.36,0
"University of Liverpool","10006842",0.329285714285714,14.2857142857143,14.2857142857143,14.2857142857143,2.3,0
"University of Manchester","10007798",0.919408163265306,28.5714285714286,31.6326530612245,31.6326530612245,2.737,14.2857142857143
"University of Nottingham","10007154",0.758134831460674,31.4606741573034,32.5842696629214,32.5842696629214,2.741,15
"University of Oxford","10007774",1.44486516853933,43.2584269662921,44.3820224719101,44.3820224719101,2.958,79.1666666666667
"University of Reading","10007802",0.665972972972973,29.7297297297297,29.7297297297297,29.7297297297297,2.911,50
"University of Sheffield","10007157",1.052,45.4545454545455,54.5454545454545,54.5454545454545,3.276,53.8461538461538
"University of Southampton","10007158",0.95351724137931,34.4827586206897,41.3793103448276,41.3793103448276,3.046,41.6666666666667
"University of St Andrews","10007803",0.676560606060606,33.3333333333333,36.3636363636364,39.3939393939394,2.691,17.8571428571429
"University of Strathclyde","10007805",1.30622641509434,54.7169811320755,54.7169811320755,54.7169811320755,2.784,33.3333333333333
"University of Surrey","10007160",0.446222222222222,22.2222222222222,22.2222222222222,22.2222222222222,2.296,0
"University of Sussex","10007806",0.998859649122807,33.3333333333333,40.3508771929825,40.3508771929825,2.828,28.5714285714286
"University of the West of England, Bristol","10007164",0.243181818181818,4.54545454545455,4.54545454545455,4.54545454545455,2.25,33.3333333333333
"University of Ulster","10007807",0.533862068965517,6.89655172413793,6.89655172413793,6.89655172413793,2.595,0
"University of Warwick","10007163",1.05463636363636,27.972027972028,37.0629370629371,37.0629370629371,2.909,35.7142857142857
"University of Westminster","10007165",0.696486486486486,32.4324324324324,32.4324324324324,35.1351351351351,2.612,10
