UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10007760,21,Source,244656,D,"Beyond models and metaphors: complexity theory, systems thinking and international relations",Source,Source,Cambridge Review of International Affairs,24,1,43,Source,Source,1474-449X,10.1080/09557571.2011.558054,Source,2011,http://eprints.bbk.ac.uk/4822/,1,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244657,D,Cyberneticizing the American war machine: science and computers in the Cold War,Source,Source,Cold War history,8,1,77,Source,Source,1468-2745,10.1080/14682740701791359,Source,2008,http://eprints.bbk.ac.uk/2130/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244658,A,The scientific way of warfare: order and chaos on the battlefields of modernity,Source,Columbia University Press,Source,Source,Source,Source,Source,9780231700788,Source,Source,Source,2009,http://eprints.bbk.ac.uk/1313/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244659,D,Complexity theory and the war on terror: understanding the self-organising dynamics of leaderless jihad,Source,Source,Journal of International Relations and Development,15,3,345,Source,Source,1408-6980,10.1057/jird.2011.24,Source,2011,http://eprints.bbk.ac.uk/4823/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244660,D,Do women need women representatives?,Source,Source,British Journal of Political Science,40,1,1,Source,Source,0007-1234,10.1017/S0007123409990408,Source,2010,http://eprints.bbk.ac.uk/2157/,2,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244661,D,Understanding men's and women's political interests: evidence from a study of gendered political attitudes,Source,Source,"Journal of Elections, Public Opinion & Parties",18,1,53,Source,Source,1745-7289,10.1080/17457280701858623,Source,2008,http://eprints.bbk.ac.uk/2694/,1,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244662,D,Open doors and closed frontiers: the limits of American empire,Source,Source,European Journal of International Relations,14,4,619,Source,Source,1354-0661,10.1177/1354066108097555,Source,2008,http://eprints.bbk.ac.uk/2134/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244663,D,"An exceptional response? security, development and civil society in Spanish policy after 11-M",Source,Source,Development & Change,41,2,313,Source,Source,0012-155X,10.1111/j.1467-7660.2010.01636.x,Source,2010,http://eprints.bbk.ac.uk/2133/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244664,D,Repairing civil society and experimenting with power: a genealogy of social capital,Source,Source,Political Studies,57,2,374,Source,Source,0032-3217,10.1111/j.1467-9248.2008.00760.x,Source,2009,http://eprints.bbk.ac.uk/2135/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244665,B,"New Materialisms: Ontology, Agency and Politics",Source,Duke University Press,Source,Source,Source,Source,Source,9780822347538,Source,Source,Source,2010,http://eprints.bbk.ac.uk/1473/,1,False,Source,False,False,Source,Source,Source,Source,Source,False,"Sections for Submission:

'Introducing the New Materialisms’, pp. 1-43 (co-authored with S. Frost); 
`The Inertia of Matter and the Generativity of Flesh’ (single authored), pp. 92-136. 
"
10007760,21,Source,244666,D,"Norms, strategies and political change: explaining the establishment of the convention on the future of Europe",Source,Source,European Journal of International Relations,14,2,319,Source,Source,1354-0661,10.1177/1354066108089245,Source,2008,http://eprints.bbk.ac.uk/2137/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244667,A,The power of the centre: central governments and the macro-implementation of EU public policy,Source,Manchester University Press,Source,Source,Source,Source,Source,9780719062001,Source,Source,Source,2008,http://eprints.bbk.ac.uk/1317/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244668,D,Between the party and the European Union? The regulation of working time in France,Source,Source,"French Politics, Culture & Society",30,1,88,Source,Source,1537-6370,10.3167/fpcs.2012.300105,Source,2012,http://eprints.bbk.ac.uk/5025/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244670,D,"EMU and political union: what, if anything, have we learned from the Euro's first decade?",Source,Source,Journal of European Public Policy,16,4,508,Source,Source,1350-1763,10.1080/13501760902872486,Source,2009,http://eprints.bbk.ac.uk/2141/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244672,D,Human development and the demography of secularisation in global perspective,Source,Source,Interdisciplinary Journal of Research on Religion,4,Source,1,Source,Source,1556-3723,Source,Source,2008,http://eprints.bbk.ac.uk/2150/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244674,D,"Secularism, fundamentalism or Catholicism: the religious composition of the United States to 2043",Source,Source,Journal for the Scientific Study of Religion,49,2,293,Source,Source,0021-8294,10.1111/j.1468-5906.2010.01510.x,Source,2010,http://eprints.bbk.ac.uk/2151/,2,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244675,D,Demographic change and conflict in Northern Ireland: reconciling qualitative and quantitative evidence,Source,Source,Ethnopolitics,10,3-4,369,Source,Source,1744-9057,10.1080/17449057.2011.596117,Source,2011,http://eprints.bbk.ac.uk/4198/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244676,D,Gender quotas and models of political citizenship,Source,Source,British Journal of Political Science,39,4,781,Source,Source,0007-1234,10.1017/S0007123409990123,Source,2009,http://eprints.bbk.ac.uk/2158/,2,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244677,D,State feminism and women's movements,Source,Source,West European Politics,31,1-2,169,Source,Source,0140-2382,10.1080/01402380701834978,Source,2008,http://eprints.bbk.ac.uk/2159/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244679,D,The Ghost in the Machine: Pension Risks and Regulatory Responses in the United States and the United Kingdom,Source,Source,Politics & Society,40,1,107,Source,Source,1552-7514,10.1177/0032329211434692,Source,2012,http://eprints.bbk.ac.uk/5679/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244680,D,The Politics of Conflict Management in EU Regulation,Source,Source,West European Politics,32,4,699,Source,Source,0140-2382,10.1080/01402380902945276,Source,2009,http://eprints.bbk.ac.uk/2163/,Source,False,Source,False,False,Source,Source,Source,Source,Source,False,"D Mabbett is co-editor of this special issue of the journal, co-author of the introduction (pp 699-718) and single author of a paper 'Supplementary Pensions between Social Policy and Social Regulation' (pp 774-791).’ "
10007760,21,Source,244682,A,After Bush: the case for continuity in American foreign policy,Source,Cambridge University Press,Source,Source,Source,Source,Source,9780521880046,Source,Source,Source,2008,http://eprints.bbk.ac.uk/1320/,1,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244683,A,Barack Obama's post-American foreign policy: the limits of engagement,Source,Bloomsbury Academic,Source,Source,Source,Source,Source,9781780930381,Source,Source,Source,2012,http://eprints.bbk.ac.uk/4859/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244684,D,The exceptional empire: why the United States will not decline - again,Source,Source,International Politics,45,5,571,Source,Source,1384-5748,10.1057/ip.2008.25,Source,2008,http://eprints.bbk.ac.uk/2166/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,244685,C,Neo-conservatism: theory and practice,Source,Routledge,New Directions in US Foreign Policy,Source,Source,Source,Source,9780415777490,Source,Source,Source,2009,http://eprints.bbk.ac.uk/1485/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,493069,B,Social Democracy and European Integration: The politics of preference formation,Source,Routledge,Source,Source,Source,Source,Source,9780415559850,Source,Source,Source,2010,Source,0,False,Source,False,False,Source,Source,Source,Source,Source,False,D Dimitrakopoulos is the director and editor of this Leverhulme-funded project. He is the author of the introduction and conclusion and co-author of Chapter 5.
10007760,21,Source,493070,D,UK economic policy and the global financial crisis: paradigm lost?,Source,Wiley Blackwell,Journal of Common Market Studies,47,5,1041,Source,Source,0021-9886,10.1111/j.1468-5965.2009.02034.x,Source,2009,http://eprints.bbk.ac.uk/2164/,1,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,502068,D,Public political narratives: developing a neglected source through the exploratory case of Russia in the Putin-Medvedev era,Source,Political Studies Association,Political Studies,60,4,768,Source,Source,0032-3217,10.1111/j.1467-9248.2011.00939.x,Source,2012,http://eprints.bbk.ac.uk/7330/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,502069,D,Electoral manipulation and the development of Russia's political system,Source,Taylor & Francis,East European Politics,28,2,105,Source,Source,2159-9165,10.1080/21599165.2012.669734,Source,2012,http://eprints.bbk.ac.uk/7331/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,502071,D,"Writing Russia's future: paradigms, drivers, and scenarios",Source,Taylor & Francis,Europe-Asia Studies,64,7,1165,Source,Source,0966-8136,10.1080/09668136.2012.698046,Source,2012,http://eprints.bbk.ac.uk/7382/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,502072,C,"The flow and ebb of private seaborne violence in global politics: lessons from the Atlantic World, 1689-1815",Source,Hurst Publishing,"Mercenaries, Bandits, Pirates and Empires: Private Violence in Historical Perspective",Source,Source,Source,Source,9781849040884,Source,Source,Source,2010,http://eprints.bbk.ac.uk/7304/,1,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,502073,D,"Taking sides: cosmopolitanism, internationalism and ‘complex solidarity’ in the work of Fred Halliday",Source,Wiley-Blackwell,International Affairs,87,5,1051,Source,Source,0020-5850,10.1111/j.1468-2346.2011.01020.x,Source,2011,http://eprints.bbk.ac.uk/7305/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,502074,D,Reconstructing the elderly: a critical analysis of pensions and population policies in an era of demographic ageing,Source,Palgrave Macmillan,Contemporary Political Theory,11,1,41,Source,Source,1470-8914,10.1057/cpt.2011.12,Source,2012,http://eprints.bbk.ac.uk/7306/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,502075,D,Too many bodies? The return and disavowal of the population question,Source,Taylor & Francis,Environmental Politics,22,2,195,Source,Source,0964-4016,10.1080/09644016.2012.730268,Source,2013,http://eprints.bbk.ac.uk/7307/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
10007760,21,Source,502076,A,Governing the Euro area in good times and bad,Source,Oxford University Press,Source,Source,Source,Source,Source,9780199572502,Source,Source,Source,2011,http://eprints.bbk.ac.uk/7308/,0,False,Source,False,False,Source,Source,Source,Source,Source,False,Source
